map,style,score,note
King's Row,brawl,3,the archetypal brawl map; streets phase is one long corridor
Circuit Royal,poke,3,longest sightlines in the pool; snipers own the first phase
Lijiang Tower,brawl,2,garden and control center funnel into close quarters
Nepal,brawl,2,shrine and sanctum choke into melee range
Ilios,dive,2,ledges and open points reward mobility; well punishes immobile comps
Oasis,dive,2,high grounds and pillars favour mobile heroes
Busan,brawl,2,meka base and sanctuary fight in tight rooms
Havana,poke,2,long straight lanes for hitscan
Junkertown,poke,2,first point rewards long-range pressure
Route 66,poke,2,open first-phase sightlines
Dorado,dive,2,high-ground hops along the payload path
Eichenwalde,brawl,2,castle chokes and the bridge fight
Numbani,dive,2,classic dive geometry around first point high ground
Watchpoint: Gibraltar,dive,2,platforms and verticality end to end
Midtown,brawl,2,hotel interior and street corridors favour close sustain
Colosseo,brawl,2,push rewards staying grouped on the robot
New Queen Street,brawl,2,same push logic; fights follow the barricade
Antarctic Peninsula,brawl,1,icebreaker interior turns into a scrum
Blizzard World,brawl,1,winding indoor stretches between opens
Esperança,poke,1,wide lanes before the robot chokes
Aatlis,dive,2,rooftops and terraces stack high ground over every point; verticality and the drops decide the fights
New Junk City,dive,2,stacked platforms and junk-pile high ground between points; mobility to reach and hold the top
Suravasa,poke,1,open courtyards and long approaches to the points; range chips before the fight closes
Samoa,dive,1,beach platforms and volcano ledges reward mobility; downtown turns into a scrum
Rialto,poke,2,canal bridges and long straight sightlines; the last stretch tightens into corridors
Shambali Monastery,poke,1,a long uphill approach under high ground; the final courtyard closes to a brawl
Hollywood,brawl,1,an open gate fight into balconies; the studio street corridors after favour close sustain
Paraíso,dive,1,favela high ground over the first point; the street after runs tight
Runasapi,dive,1,terraced streets and multi-level high ground along the robot path
