hero,other,score,note
Ana,Winston,2,nano on the dive engage; sleep and anti cover his retreat
Ana,Genji,3,nano blade is the classic wombo; her utility turns his ult into a team wipe
Ana,Reinhardt,3,nano rein anchors brawl; shield protects her sightlines in return
Ana,Mauga,2,nano plus his lifesteal makes him nearly unkillable in the brawl
Zarya,Reinhardt,3,bubbles eat the punish tools that stop rein from swinging
Zarya,Mei,2,graviton plus blizzard stacks two area lockdowns into one fight win
Zarya,Hanzo,2,graviton dragon needs no coordination beyond timing
Mei,Reinhardt,2,walls cut off the point and make space for his flat engage
Lúcio,Reinhardt,3,speed fixes rein's one weakness; classic brawl core
Lúcio,Winston,2,speed lets the dive commit and disengage together
Lúcio,Doomfist,2,speed amplifies his angles and covers his cooldown gaps
Winston,D.Va,3,double dive tanks; she follows his jump and eats the counters
Winston,Genji,2,dive core; they arrive together and split the backline's attention
Winston,Tracer,3,dive core; tracer cleans up what the primal disrupts
Winston,Sombra,2,hack removes the escape of whatever he jumps
D.Va,Tracer,2,matrix covers her one-clip window and eats the turnaround damage
Tracer,Genji,2,double flank forces the backline to turn two directions at once
Sombra,Doomfist,2,hack strips escape and shields before the punch lands
Sombra,Tracer,2,emp sets up her cleanup better than any other ult
Pharah,Mercy,3,pocket pharah is the oldest duo in the game; damage boost plus survivability
Echo,Mercy,2,same pocket logic at higher skill ceilings
Mercy,Ashe,2,damage boosted dynamite and headshots swing mid fights
Kiriko,Genji,2,suzu cleanses anti out of blade windows; kitsune extends the dive
Junker Queen,Lúcio,3,speed queen brawl; her wound healing scales with pace of the fight
Junker Queen,Brigitte,2,brawl frontline stacking sustain and peel at the same range
Ramattra,Zenyatta,2,discord melts what his block walks into; orbs travel with the push
Ramattra,Lúcio,2,speed feeds his ult and vortex range
Sigma,Widowmaker,2,poke frontline that never blocks her sightlines
Sigma,Hanzo,2,poke core; grasp holds angles while he spams them
Orisa,Torbjörn,2,fortified frontline plus turret zone control on chokes
Reinhardt,Brigitte,2,double shield brawl at melee range; her packs keep the swing alive
Roadhog,Zarya,2,hook into bubble punish; his hook feeds her energy targets
Bastion,Baptiste,2,immortality field lets turret form stand in the open
Baptiste,Pharah,2,vertical burst plus lamp under the fight she owns from above
Zenyatta,Winston,2,discorded dive targets die inside primal cooldowns
Moira,Reaper,2,brawl flank pair with self-sustain to trade deep
Soldier: 76,Mercy,1,boosted helix and visor are simple reliable value
Wrecking Ball,Sombra,1,double disruption comps; both punish scattered backlines
Wrecking Ball,Zenyatta,1,ball creates the chaos discord converts into kills
Torbjörn,Mei,1,wall plus turret locks a flank completely
Cassidy,Reinhardt,1,mid range hitscan that lives behind his shield comfortably
Anran,Hazard,2,from the kit: his leap and wall open the target her dash-in melee finishes
Anran,Juno,2,from the kit: ring speed carries her dash into range and the torpedoes heal the commit
Anran,Kiriko,1,from the kit: suzu cleanses the anti and cc that end her dash-in windows
Emre,Sigma,2,poke frontline that holds the sightline his burst rifle needs
Emre,Baptiste,1,lamp holds the ground his lifesteal pistol trades on
Emre,Juno,2,from the kit: orbital ray amps his transformation ult while she heals it airborne
Freja,Mei,2,from the kit: her bola bunches a team for blizzard
Freja,Hanzo,1,two burst projectile angles from the same high ground
Freja,Zenyatta,2,from the kit: discord on the target her bola pins in place
Shion,D.Va,2,from the kit: matrix covers his bike approach and the dismount
Shion,Mizuki,2,from the kit: her leap and teleport back match the angles his bike takes
Shion,Sombra,2,hack strips the escape before his rush closes
Sierra,Zenyatta,2,from the kit: discord and her tracking mark land on the same target
Sierra,Orisa,1,from the kit: a fortified frontline while she marks and chips from a grapple perch
Sierra,Baptiste,1,from the kit: the grapple perch and the lamp hold the same long angle
Vendetta,Kiriko,1,from the kit: suzu cleanses the cc that cancels his cleave channel
Vendetta,Brigitte,2,from the kit: armour packs keep a melee flanker swinging at her range
Vendetta,Ramattra,2,from the kit: vortex holds the target his cleave needs standing still
Venture,Junker Queen,2,from the kit: two melee-range divers arriving in the same scrum
Venture,Zarya,2,from the kit: bubble covers the emerge and the burrow feeds her energy
Venture,Roadhog,1,from the kit: hook drags a target onto the ground the burrow bursts out of
Junkrat,Zarya,3,graviton into rip-tire is the oldest wombo in the game
Junkrat,Mei,2,wall pins a team inside the trap and spam zone
Junkrat,Torbjörn,2,trap and turret lock a flank his spam already covers
Symmetra,Orisa,2,teleporter and turrets behind a fortified choke hold
Symmetra,Junker Queen,2,teleporter puts a shieldless brawl frontline on the point together
Symmetra,Mei,2,wall and turrets seal the same room
Sojourn,Mercy,2,damage boost puts a charged railgun shot into one-shot range
Sojourn,Baptiste,1,two mid-range hitscans; lamp holds the overclock window
Sojourn,Juno,1,ring speed and the slide both carry her to the railgun angle
Illari,Sigma,2,poke backline behind a frontline that never blocks her rifle
Illari,Ashe,2,two long-range hitscans trading down the same lane
Illari,Pharah,1,pylon and rifle reach the air she fights from
Jetpack Cat,Pharah,3,from the kit: the only support that follows her into the air
Jetpack Cat,Echo,2,from the kit: a flying healer for a flying dps
Jetpack Cat,Doomfist,2,from the kit: the tow and her flight follow his airborne slams
Juno,Tracer,2,ring speed and lock-on heals follow a blinker past the frontline
Juno,Wrecking Ball,2,ring speed feeds a tank that wins on pace
Mizuki,Genji,2,from the kit: her leap follows the flank and teleports back out
Mizuki,Junker Queen,2,from the kit: the sanctuary holds ground a shieldless tank commits to
Mizuki,Hazard,2,from the kit: her chain hinder and his wall trap the same target
Wuyang,Mauga,2,from the kit: tidal blast on a tank that never leaves the fight
Wuyang,Ramattra,2,from the kit: the stream keeps him healed through the nemesis block
Wuyang,D.Mon,1,from the kit: heal amp on a frontal barrier that holds its ground
Lifeweaver,Widowmaker,2,platform builds the perch and the grip pulls her out of a dive
Lifeweaver,Reaper,2,grip pulls a deep flanker out of a lost trade
Lifeweaver,Bastion,2,platform lifts turret form onto an angle and the grip pulls it out
D.Mon,Brigitte,2,from the kit: barrier frontline with armour packs at the same range
D.Mon,Cassidy,1,from the kit: mid range hitscan that lives behind a frontal barrier
D.Mon,Torbjörn,1,from the kit: turret zone control behind a deployed barrier
Domina,Sigma,2,double barrier poke; two shields hold one choke
Domina,Widowmaker,2,a barrier line that holds the sightline she shoots down
Domina,Hanzo,1,poke pair; the barrier holds the angle he spams from
Hazard,Reaper,2,from the kit: the wall cuts the retreat and he cleans up the trapped fight
Hazard,Junkrat,2,from the kit: wall and trap hold a team in the tire's path
Sigma,Orisa,2,double shield poke; fortify and grasp hold the same choke
Widowmaker,Mercy,2,the pocket that keeps a sniper alive on her angle
Roadhog,Kiriko,2,suzu cleanses the anti that stops his self-heal mid hook
Mauga,Kiriko,2,suzu clears the anti that is the only thing beating his lifesteal
Doomfist,Ana,2,nano on the slam turns one engage into a wipe; sleep covers his exit
Wrecking Ball,Tracer,1,both punish the scattered backline the minefield creates
Moira,Mauga,1,her sustain feeds a tank that trades constantly at her range
Soldier: 76,Orisa,1,a fortified choke and a rifle that holds it at range
Bastion,Torbjörn,1,two deployable damage sources holding one choke
Cassidy,Brigitte,1,her packs and stun keep a mid-range hitscan alive at brawl range
Soldier: 76,Baptiste,1,two mid-range hitscans with overlapping sustain
Hanzo,Widowmaker,1,two sniper angles that force the same dive answer
Reaper,Junker Queen,1,two close-range trades with lifesteal that reward the same scrum
Zenyatta,Genji,1,discord on the blade target; the oldest focus-fire pair
Echo,Pharah,1,two air threats forcing the enemy onto one hitscan answer
Doomfist,Kiriko,2,from the kit: suzu cleanses the sleep, hinder and hack that end his engage
Doomfist,Tracer,1,dive core; she cleans up what the punch displaces
