id,tag,name,category,formula,inputs,status,rationale
1,derived:shape,role census,role shape,"T, D, S = |{h in picks : role(h) = r}| for r in {tank, damage, support}; always T+D+S = |picks|","heroes.role_id, roles.code",live,every other shape heuristic reads these three counts; stating them first makes the rest auditable
2,derived:shape,tankless flag,role shape,flag iff T = 0,role census,live,"no one makes space: the comp must win on range or flank tempo, and the dossier should say so out loud"
3,derived:shape,triple-DPS flag,role shape,flag iff D >= 3,role census,live,"wins the fights it starts and loses attrition; a deliberate shape, but never an accidental one"
4,derived:shape,support drought flag,role shape,flag iff S = 0,role census,live,sustain becomes spawn-door only; the strongest single warning a shape can carry
5,derived:shape,solo-heal flag,role shape,flag iff S = 1,role census,live,one support is a plan only when the other four peel for them or self-sustain
6,derived:shape,double-tank flag,role shape,flag iff T >= 2,role census,live,two frontlines trade damage output for space; worth naming because open queue allows it
7,derived:shape,archetype deviation,role shape,"dev = SUM over roles r of max(0, count_r - slots_r), slots from the map's top-style comp_archetypes row","role census, map_playstyle, comp_archetypes",live,measures how far the locked picks already sit from the shape the map's own playstyle wants
8,derived:shape,open-slot role demand,role shape,"demand_r = max(0, slots_r - count_r) per role for the map archetype; lists what the open slots owe","role census, comp_archetypes, map_playstyle",ready,turns deviation into a prescription: not just 'off-shape' but which roles the remaining picks should fill
9,derived:shape,subrole balance,role shape,distinct subroles among picks / |picks|; 1.0 = every pick brings a different job,"heroes.subrole_id, subroles",live,two main tanks or two flex supports overlap jobs even when the role counts look fine
10,derived:shape,role-flex reserve,role shape,|{c in C : role(c) = argmax_r demand_r}|; how deep the pool runs for the neediest role,"candidate pool, open-slot role demand",ready,a demand the pool cannot fill is a different problem than one with twelve answers
11,derived:healing,peak kit heal,healing and sustain,"peak(h) = MAX over h's ability_stats and weapon_stats of value where stat_key in (heal, hps)","ability_stats, weapon_stats, stat_keys",live,"the kit's own biggest heal number, ability or weapon side - measured, not judged"
12,derived:healing,healing supply vs bench,healing and sustain,supply = SUM peak(h) over locked supports; bench = 2 x median(peak over the whole support roster),"peak kit heal, roles",live,'enough healing' needs a denominator; the roster median is the only honest one the schema holds
13,derived:healing,under-healed flag,healing and sustain,flag iff S >= 2 and supply < HEAL_MARGIN x bench,"healing supply vs bench, heuristic_params.HEAL_MARGIN",live,"only fires when the support line is complete and still light - two Zens is a choice, name it"
14,derived:selfheal,self-sustain census,healing and sustain,|{h in picks : h has a heal stat targeting self}|,ability_stats (heal target not encoded),blocked,the schema stores heal amounts but not who receives them; needs a target column on ability_stats
15,derived:antiheal,anti-heal exposure,healing and sustain,|{e in E : e has healing_mod stat < 0}| and the worst value,"ability_stats, stat_keys.healing_mod",live,a comp built on sustain answers Ana's grenade differently than one built on burst; the -100 is in the data
16,derived:overhealth,overhealth supply,healing and sustain,SUM over picks of MAX overhealth stat per kit,"ability_stats, stat_keys.overhealth",live,temporary health is burst insurance the healing-supply number does not see
17,derived:healamp,healing amplification stack,healing and sustain,|{h in picks : h has healing_mod stat > 0}| and the product of (1 + mod),"ability_stats, stat_keys.healing_mod",ready,amp multiplies the supply number; two amps on one comp is a sustain identity
18,derived:healmix,burst-vs-drip mix,healing and sustain,"per support: ability-side max heal / weapon-side max heal; >2 = burst kit, <1 = drip kit","ability_stats, weapon_stats",ready,350 supply from burst kits and 350 from drip kits survive different damage profiles
19,derived:healuptime,sustain uptime proxy,healing and sustain,"per heal ability: duration / (duration + cooldown), using each kit's own stats","ability_stats, stat_keys.cooldown, stat_keys.duration",ready,peak heal on a 14s cooldown is not the same supply as peak heal every 4s
20,derived:lifelines,lifeline redundancy,healing and sustain,|{h in picks : peak(h) > 0}|; count of picks carrying any healing at all,peak kit heal,ready,"when the count is exactly S, killing the supports ends the sustain; off-role healing is redundancy"
21,derived:frontline,frontline pool,frontline and durability,"SUM over tanks of pool(h), pool = health + shield + armor",heroes.health/shield/armor,live,the literal hit points standing between the enemy and the backline
22,derived:frontline,armor share,frontline and durability,"armor(h) / pool(h) per tank, reported beside the pool",heroes.armor,live,armor discounts sustained fire; the same pool with more armor beats spam and loses to burst less
23,derived:teampool,team effective HP,frontline and durability,SUM pool(h) over all five picks,heroes.health/shield/armor,live,"the ceiling on how much damage the comp absorbs before the first death, ignoring healing"
24,derived:barriers,enemy barrier audit,frontline and durability,per enemy: MAX barrier_health stat in kit; lists every barrier the enemy fields,"ability_stats, stat_keys.barrier_health",live,a 750hp Brigitte shield and a 1500hp Rein wall demand different amounts of chew
25,derived:barriers,barrier-pierce coverage,frontline and durability,{h in A union C : h has ignores_barrier stat = 1},"ability_stats, stat_keys.ignores_barrier",live,the direct answer to the audit: who simply does not care about the barrier
26,derived:armorshred,armor-shred need,frontline and durability,SUM armor over enemies vs |{h in picks : beam weapon or ignores_armor stat}|,"heroes.armor, weapon_configs.weapon_type, ability_stats",ready,heavy enemy armor punishes low-damage-per-hit kits; beams and pierce restore the math
27,derived:squish,squish index,frontline and durability,|{h in picks : pool(h) <= 225}|,heroes.health/shield/armor,live,each 225-pool pick is a one-dive target; three of them is a dive invitation
28,derived:weakestlink,weakest-link pool,frontline and durability,MIN pool(h) over picks,heroes.health/shield/armor,live,"focus fire finds the minimum, not the average"
29,derived:shieldshare,shield-regen reliance,frontline and durability,SUM shield / SUM pool over picks,heroes.shield,ready,shields recharge out of fight: a high share rewards disengage-heavy playstyles and poke maps
30,derived:burstsurvive,focus-fire survivability,frontline and durability,MIN pool(h) over picks vs MAX single-hit damage stat over enemy kits,"heroes pools, ability_stats/weapon_stats damage",live,"when the enemy's biggest hit exceeds the weakest pool, one mistake is a death, not a retreat"
31,derived:dmgmix,weapon-type mix,damage profile,counts of picks per weapon_configs.weapon_type (hitscan / projectile / beam / arcing),weapon_configs.weapon_type,live,all-projectile comps share one weakness; the mix is the comp's damage identity in one line
32,derived:hitscan,hitscan census,damage profile,|{h in picks : any weapon_config of h has weapon_type = hitscan}|,weapon_configs.weapon_type,live,the closest measured proxy for anti-air the schema holds
33,derived:antiair,vertical-threat answer,damage profile,|{h in picks : hitscan}| vs |{e in E : e can fly}|,flight is not encoded on heroes,blocked,needs a mobility/flight flag on heroes; until then the hitscan census is the honest substitute
34,derived:burstceiling,burst ceiling,damage profile,MAX single damage stat over the comp's abilities and weapons,"ability_stats, weapon_stats, stat_keys.damage",live,whether the comp can delete a 250hp target through one heal window
